date_local,summer_year,daily_peak_mw,is_top5,hour_of_peak
2021-06-14,2021,120566,FALSE,18
2021-06-15,2021,109300,FALSE,18
2021-06-16,2021,104950,FALSE,18
2021-06-17,2021,110034,FALSE,19
2021-06-18,2021,117083,FALSE,18
2021-06-19,2021,112859,FALSE,17
2021-06-20,2021,122253,FALSE,18
2021-06-21,2021,128536,FALSE,16
2021-06-22,2021,96219,FALSE,12
2021-06-23,2021,98030,FALSE,19
2021-06-24,2021,106819,FALSE,18
2021-06-25,2021,110835,FALSE,18
2021-06-26,2021,118438,FALSE,18
2021-06-27,2021,129149,FALSE,18
2021-06-28,2021,141879,FALSE,18
2021-06-29,2021,147770,TRUE,17
2021-06-30,2021,139826,FALSE,17
2021-07-01,2021,118866,FALSE,15
2021-07-02,2021,104126,FALSE,18
2021-07-03,2021,96023,FALSE,18
2021-07-04,2021,110336,FALSE,18
2021-07-05,2021,131649,FALSE,18
2021-07-06,2021,146933,TRUE,17
2021-07-07,2021,143549,FALSE,15
2021-07-08,2021,121678,FALSE,15
2021-07-09,2021,121173,FALSE,17
2021-07-10,2021,107210,FALSE,18
2021-07-11,2021,112422,FALSE,18
2021-07-12,2021,132767,FALSE,16
2021-07-13,2021,129614,FALSE,18
2021-07-14,2021,136599,FALSE,17
2021-07-15,2021,138805,FALSE,17
2021-07-16,2021,134889,FALSE,15
2021-07-17,2021,122945,FALSE,15
2021-07-18,2021,113421,FALSE,18
2021-07-19,2021,129273,FALSE,18
2021-07-20,2021,136646,FALSE,18
2021-07-21,2021,122362,FALSE,16
2021-07-22,2021,119372,FALSE,18
2021-07-23,2021,122095,FALSE,18
2021-07-24,2021,120748,FALSE,17
2021-07-25,2021,129741,FALSE,18
2021-07-26,2021,140395,FALSE,17
2021-07-27,2021,141019,FALSE,18
2021-07-28,2021,137895,FALSE,18
2021-07-29,2021,130430,FALSE,16
2021-07-30,2021,122995,FALSE,17
2021-07-31,2021,104718,FALSE,18
2021-08-01,2021,100417,FALSE,18
2021-08-02,2021,110971,FALSE,18
2021-08-03,2021,110260,FALSE,18
2021-08-04,2021,113256,FALSE,18
2021-08-05,2021,125008,FALSE,18
2021-08-06,2021,131384,FALSE,17
2021-08-07,2021,115008,FALSE,17
2021-08-08,2021,123133,FALSE,18
2021-08-09,2021,133657,FALSE,17
2021-08-10,2021,140781,FALSE,17
2021-08-11,2021,141569,FALSE,17
2021-08-12,2021,148914,TRUE,17
2021-08-13,2021,142611,FALSE,16
2021-08-14,2021,125087,FALSE,17
2021-08-15,2021,108784,FALSE,18
2021-08-16,2021,117643,FALSE,18
2021-08-17,2021,125582,FALSE,17
2021-08-18,2021,132928,FALSE,18
2021-08-19,2021,135751,FALSE,17
2021-08-20,2021,129843,FALSE,18
2021-08-21,2021,123257,FALSE,18
2021-08-22,2021,120032,FALSE,18
2021-08-23,2021,141293,FALSE,18
2021-08-24,2021,149590,TRUE,18
2021-08-25,2021,144720,FALSE,17
2021-08-26,2021,146420,TRUE,16
2021-08-27,2021,146184,FALSE,15
2021-08-28,2021,129927,FALSE,17
2021-08-29,2021,122127,FALSE,18
2021-08-30,2021,137018,FALSE,17
2021-08-31,2021,123004,FALSE,16
2021-09-01,2021,112520,FALSE,18
2021-09-02,2021,105708,FALSE,18
2021-09-03,2021,98355,FALSE,18
2021-09-04,2021,96201,FALSE,18
2021-09-05,2021,95431,FALSE,18
2021-09-06,2021,107357,FALSE,18
2021-09-07,2021,119085,FALSE,18
2021-09-08,2021,119471,FALSE,17
2021-09-09,2021,101453,FALSE,18
2021-09-10,2021,99145,FALSE,18
2021-09-11,2021,99047,FALSE,18
2021-09-12,2021,115131,FALSE,18
2021-09-13,2021,131744,FALSE,17
2021-09-14,2021,133078,FALSE,17
2021-09-15,2021,121780,FALSE,17
2021-09-16,2021,114311,FALSE,17
2021-09-17,2021,119368,FALSE,17
2021-09-18,2021,117818,FALSE,17
2021-09-19,2021,112149,FALSE,18
2021-09-20,2021,111064,FALSE,18
2021-09-21,2021,102822,FALSE,17
2021-09-22,2021,103456,FALSE,16
2021-09-23,2021,93900,FALSE,14
2021-09-24,2021,90102,FALSE,18
2021-09-25,2021,81099,FALSE,18
2021-09-26,2021,84116,FALSE,20
2021-09-27,2021,102463,FALSE,18
2021-09-28,2021,101224,FALSE,18
2021-09-29,2021,96245,FALSE,18
2021-09-30,2021,92685,FALSE,18
2022-06-01,2022,127096,FALSE,17
2022-06-02,2022,114246,FALSE,16
2022-06-03,2022,104950,FALSE,18
2022-06-04,2022,97135,FALSE,18
2022-06-05,2022,97356,FALSE,19
