rep,ev_low,ev_mid,ev_high
192,48599.82285714285,66982.13535714285,68306.90285714286
193,56314.108571428565,74696.42107142856,76021.18857142857
194,49171.25142857142,67553.56392857143,68878.33142857144
195,52599.82285714285,70982.13535714285,72306.90285714286
196,54028.394285714276,72410.70678571428,73735.4742857143
197,50599.82285714285,68982.13535714285,70306.90285714286
198,51456.96571428571,69839.2782142857,71164.04571428572
199,51456.96571428571,69839.2782142857,71164.04571428572
200,56028.394285714276,74410.70678571428,75735.4742857143
201,50885.53714285714,69267.84964285714,70592.61714285715
202,53171.25142857142,71553.56392857143,72878.33142857144
203,56314.108571428565,74696.42107142856,76021.18857142857
204,53171.25142857142,71553.56392857143,72878.33142857144
205,54028.394285714276,72410.70678571428,73735.4742857143
206,52314.108571428565,70696.42107142856,72021.18857142857
207,60028.394285714276,78410.70678571428,79735.4742857143
208,54028.394285714276,72410.70678571428,73735.4742857143
209,50599.82285714285,68982.13535714285,70306.90285714286
210,55742.67999999999,74124.9925,75449.76000000001
211,57171.25142857142,75553.56392857143,76878.33142857144
212,49742.67999999999,68124.9925,69449.76000000001
213,54599.82285714285,72982.13535714285,74306.90285714286
214,55456.96571428571,73839.2782142857,75164.04571428572
215,54028.394285714276,72410.70678571428,73735.4742857143
216,55742.67999999999,74124.9925,75449.76000000001
217,55742.67999999999,74124.9925,75449.76000000001
218,57171.25142857142,75553.56392857143,76878.33142857144
219,55742.67999999999,74124.9925,75449.76000000001
220,59456.96571428571,77839.2782142857,79164.04571428572
221,58028.394285714276,76410.70678571428,77735.4742857143
222,54599.82285714285,72982.13535714285,74306.90285714286
223,53171.25142857142,71553.56392857143,72878.33142857144
224,61456.96571428571,79839.2782142857,81164.04571428572
225,55171.25142857142,73553.56392857143,74878.33142857144
226,54885.53714285714,73267.84964285714,74592.61714285715
227,50885.53714285714,69267.84964285714,70592.61714285715
228,54028.394285714276,72410.70678571428,73735.4742857143
229,53742.67999999999,72124.9925,73449.76000000001
230,49171.25142857142,67553.56392857143,68878.33142857144
231,51456.96571428571,69839.2782142857,71164.04571428572
232,53742.67999999999,72124.9925,73449.76000000001
233,53742.67999999999,72124.9925,73449.76000000001
234,51171.25142857142,69553.56392857143,70878.33142857144
235,51171.25142857142,69553.56392857143,70878.33142857144
236,58028.394285714276,76410.70678571428,77735.4742857143
237,52885.53714285714,71267.84964285714,72592.61714285715
238,55456.96571428571,73839.2782142857,75164.04571428572
239,51456.96571428571,69839.2782142857,71164.04571428572
240,49456.96571428571,67839.2782142857,69164.04571428572
241,58314.108571428565,76696.42107142856,78021.18857142857
242,59742.67999999999,78124.9925,79449.76000000001
243,58599.82285714285,76982.13535714285,78306.90285714286
244,55171.25142857142,73553.56392857143,74878.33142857144
245,55171.25142857142,73553.56392857143,74878.33142857144
246,58599.82285714285,76982.13535714285,78306.90285714286
247,52599.82285714285,70982.13535714285,72306.90285714286
248,57456.96571428571,75839.2782142857,77164.04571428572
249,54599.82285714285,72982.13535714285,74306.90285714286
250,56599.82285714285,74982.13535714285,76306.90285714286
251,57742.67999999999,76124.9925,77449.76000000001
252,54885.53714285714,73267.84964285714,74592.61714285715
253,62028.394285714276,80410.70678571428,81735.4742857143
254,56599.82285714285,74982.13535714285,76306.90285714286
255,54028.394285714276,72410.70678571428,73735.4742857143
256,59171.25142857142,77553.56392857143,78878.33142857144
257,53456.96571428571,71839.2782142857,73164.04571428572
258,52314.108571428565,70696.42107142856,72021.18857142857
259,58599.82285714285,76982.13535714285,78306.90285714286
260,53171.25142857142,71553.56392857143,72878.33142857144
261,53742.67999999999,72124.9925,73449.76000000001
262,53742.67999999999,72124.9925,73449.76000000001
263,62314.108571428565,80696.42107142856,82021.18857142857
264,57456.96571428571,75839.2782142857,77164.04571428572
265,52885.53714285714,71267.84964285714,72592.61714285715
266,54028.394285714276,72410.70678571428,73735.4742857143
267,53456.96571428571,71839.2782142857,73164.04571428572
268,54599.82285714285,72982.13535714285,74306.90285714286
269,62314.108571428565,80696.42107142856,82021.18857142857
270,56314.108571428565,74696.42107142856,76021.18857142857
271,49742.67999999999,68124.9925,69449.76000000001
272,53742.67999999999,72124.9925,73449.76000000001
273,55456.96571428571,73839.2782142857,75164.04571428572
274,60028.394285714276,78410.70678571428,79735.4742857143
275,55456.96571428571,73839.2782142857,75164.04571428572
276,55171.25142857142,73553.56392857143,74878.33142857144
277,55171.25142857142,73553.56392857143,74878.33142857144
278,54314.108571428565,72696.42107142856,74021.18857142857
279,50028.394285714276,68410.70678571428,69735.4742857143
280,54028.394285714276,72410.70678571428,73735.4742857143
281,54885.53714285714,73267.84964285714,74592.61714285715
282,51456.96571428571,69839.2782142857,71164.04571428572
283,52885.53714285714,71267.84964285714,72592.61714285715
284,48028.394285714276,66410.70678571428,67735.4742857143
285,57171.25142857142,75553.56392857143,76878.33142857144
286,58028.394285714276,76410.70678571428,77735.4742857143
287,57742.67999999999,76124.9925,77449.76000000001
288,50599.82285714285,68982.13535714285,70306.90285714286
289,50599.82285714285,68982.13535714285,70306.90285714286
290,61456.96571428571,79839.2782142857,81164.04571428572
291,52028.394285714276,70410.70678571428,71735.4742857143
292,50885.53714285714,69267.84964285714,70592.61714285715
293,50885.53714285714,69267.84964285714,70592.61714285715
294,54599.82285714285,72982.13535714285,74306.90285714286
295,60885.53714285714,79267.84964285714,80592.61714285715
296,55171.25142857142,73553.56392857143,74878.33142857144
297,53171.25142857142,71553.56392857143,72878.33142857144
298,50599.82285714285,68982.13535714285,70306.90285714286
299,52314.108571428565,70696.42107142856,72021.18857142857
300,55742.67999999999,74124.9925,75449.76000000001
301,56599.82285714285,74982.13535714285,76306.90285714286
302,58314.108571428565,76696.42107142856,78021.18857142857
303,57742.67999999999,76124.9925,77449.76000000001
