month_local,hr_local,daytype,mape,bias_mw,n
2,14,weekend,2.839143191770183,-2138.338461538461,65
2,15,weekday,2.4175116733381175,-1415.378881987578,161
2,15,weekend,2.8677907337067343,-2223.569230769231,65
2,16,weekday,2.3045054225181723,-1179.7453416149065,161
2,16,weekend,2.5967655941210723,-1868.5846153846155,65
2,17,weekday,2.058357067610939,-189.3788819875778,161
2,17,weekend,2.1249157211800997,-771.1538461538462,65
2,18,weekday,2.0431469038524837,847.1242236024843,161
2,18,weekend,1.7733036416344061,400.6923076923077,65
2,19,weekday,1.5441063760990168,129.84472049689452,161
2,19,weekend,1.48093766227041,-159.47692307692307,65
2,20,weekday,1.4118200595802162,-240.98136645962717,161
2,20,weekend,1.5783223854381774,-340.59999999999985,65
2,21,weekday,1.380661170264808,-131.50310559006226,161
2,21,weekend,1.5345437044941346,-95.58461538461538,65
2,22,weekday,1.4456545907021636,-86.72670807453427,161
2,22,weekend,1.4046095978064377,-147.46153846153837,65
2,23,weekday,1.5773707694730221,-597.8260869565215,161
2,23,weekend,1.271948395585504,-558.6,65
3,0,weekday,2.0745129849473742,-1400.8421052631577,171
3,0,weekend,1.8469859963941087,-1314.5833333333333,72
3,1,weekday,2.51864646468022,-1903.8713450292391,171
3,1,weekend,2.2935096572602545,-1760.7916666666667,72
3,2,weekday,2.851985774630235,-2216.2556818181815,176
3,2,weekend,2.7139482525898564,-2045.53125,64
3,3,weekday,2.8794471390992227,-2223.1590909090905,176
3,3,weekend,3.162978627957308,-2404.6176470588234,68
3,4,weekday,2.703956537579584,-2030.2215909090908,176
3,4,weekend,3.0388203339700754,-2280.1791044776123,67
3,5,weekday,2.0664210933126625,-1394.4147727272727,176
3,5,weekend,2.6844064837073613,-1982.9701492537313,67
3,6,weekday,1.2734676517949257,-218.67045454545473,176
3,6,weekend,1.8198877049267876,-1234.3731343283584,67
3,7,weekday,1.3828329280984875,160.88636363636354,176
3,7,weekend,1.4338567790554346,-668.3134328358208,67
3,8,weekday,1.5210443472375113,100.90340909090924,176
3,8,weekend,1.268459538326762,-305.55223880597026,67
3,9,weekday,1.6410077153447185,-2.5113636363633907,176
3,9,weekend,1.2688668434492418,-138.95522388059683,67
3,10,weekday,1.6854548909831606,-146.98295454545428,176
3,10,weekend,1.4651662901914035,-184.52238805970146,67
3,11,weekday,1.7990734228415426,-412.9659090909083,176
3,11,weekend,1.7410136253139172,-519.4179104477612,67
3,12,weekday,2.0399892910360933,-731.9829545454536,176
3,12,weekend,2.1129006021466803,-860.10447761194,67
3,13,weekday,2.2559720225528146,-1074.375,176
3,13,weekend,2.363811223423408,-1147.5820895522388,67
3,14,weekday,2.51616297593276,-1398.1079545454534,176
3,14,weekend,2.5965326727633746,-1457.9253731343283,67
3,15,weekday,2.658978478279306,-1544.2954545454536,176
3,15,weekend,2.797822908015019,-1568.7910447761192,67
3,16,weekday,2.594412485037777,-1376.1988636363621,176
3,16,weekend,2.754058414885266,-1380.358208955224,67
3,17,weekday,2.279948612091174,-653.818181818182,176
3,17,weekend,2.4180224329591415,-688.8059701492537,67
3,18,weekday,2.0594720481433963,412.8977272727268,176
3,18,weekend,2.551906708100032,454.9402985074626,67
3,19,weekday,2.183083892516375,1195.2954545454538,176
3,19,weekend,2.5086265871556783,1291.4925373134329,67
3,20,weekday,1.6981690423543085,540.0852272727268,176
3,20,weekend,1.8563343181153136,641.0447761194032,67
3,21,weekday,1.4489118511714556,-188.46590909090864,176
3,21,weekend,1.5593408062741716,-268.7611940298508,67
3,22,weekday,1.4577570715175552,-139.60227272727323,176
3,22,weekend,1.5359070850763046,-380.820895522388,67
3,23,weekday,1.5382316924610078,-450.1875,176
3,23,weekend,1.5209494027303647,-533.5970149253732,67
4,0,weekday,1.5366724044788838,-613.0116279069765,172
4,0,weekend,1.588192935456589,-641.7611940298509,67
4,1,weekday,2.2274821644922076,-1444.323699421965,173
4,1,weekend,2.2012338006469743,-1309.1044776119402,67
4,2,weekday,2.596685429758909,-1815.5953757225434,173
4,2,weekend,2.3959037490368154,-1636.9104477611938,67
4,3,weekday,2.6717029428590315,-1852.5260115606936,173
4,3,weekend,2.8627646878413486,-1946.5820895522386,67
4,4,weekday,2.580011872619515,-1755.329479768786,173
4,4,weekend,3.0139020954225733,-2005.8805970149253,67
4,5,weekday,2.131365993606651,-1331.7341040462427,173
4,5,weekend,2.993561398364555,-1968.074626865672,67
4,6,weekday,1.4820168110096705,-394.8381502890175,173
4,6,weekend,2.7036405843705507,-1733.3283582089553,67
4,7,weekday,1.6379238975384616,321.98843930635826,173
4,7,weekend,2.280383797878369,-1397.9402985074626,67
4,8,weekday,1.8044596336550467,833.8439306358384,173
4,8,weekend,1.8428124828750936,-854.2089552238807,67
4,9,weekday,1.734680410745381,840.9942196531792,173
4,9,weekend,1.5347318392367817,-633.9402985074624,67
